date,factom,nxt,bitcoin,isPartial
2015-11-28 11:00:00,0,28,63,False
2015-11-28 12:00:00,0,33,66,False
2015-11-28 13:00:00,0,24,65,False
2015-11-28 14:00:00,0,26,83,False
2015-11-28 15:00:00,0,26,78,False
2015-11-28 16:00:00,0,28,67,False
2015-11-28 17:00:00,0,30,73,False
2015-11-28 18:00:00,0,27,78,False
2015-11-28 19:00:00,0,29,85,False
2015-11-28 20:00:00,0,27,76,False
2015-11-28 21:00:00,0,29,81,False
2015-11-28 22:00:00,0,26,84,False
2015-11-28 23:00:00,0,27,86,False
2015-11-29 00:00:00,0,34,86,False
2015-11-29 01:00:00,0,30,83,False
2015-11-29 02:00:00,0,32,83,False
2015-11-29 03:00:00,0,31,95,False
2015-11-29 04:00:00,0,31,79,False
2015-11-29 05:00:00,0,31,76,False
2015-11-29 06:00:00,0,29,68,False
2015-11-29 07:00:00,0,27,68,False
2015-11-29 08:00:00,0,25,62,False
2015-11-29 09:00:00,0,24,64,False
2015-11-29 10:00:00,0,24,65,False
2015-11-29 11:00:00,0,26,65,False
2015-11-29 12:00:00,0,22,66,False
2015-11-29 13:00:00,0,23,67,False
2015-11-29 14:00:00,0,23,64,False
2015-11-29 15:00:00,0,25,69,False
2015-11-29 16:00:00,0,26,70,False
2015-11-29 17:00:00,0,29,71,False
2015-11-29 18:00:00,0,27,89,False
2015-11-29 19:00:00,0,26,74,False
2015-11-29 20:00:00,0,29,81,False
2015-11-29 21:00:00,0,27,83,False
2015-11-29 22:00:00,0,28,100,False
2015-11-29 23:00:00,0,29,91,False
2015-11-30 00:00:00,0,30,94,False
2015-11-30 00:00:00,0,28,87,False
2015-11-30 01:00:00,0,29,94,False
2015-11-30 02:00:00,0,29,88,False
2015-11-30 03:00:00,0,26,84,False
2015-11-30 04:00:00,0,26,83,False
2015-11-30 05:00:00,0,26,87,False
2015-11-30 06:00:00,0,25,76,False
2015-11-30 07:00:00,0,23,69,False
2015-11-30 08:00:00,0,18,69,False
2015-11-30 09:00:00,0,20,69,False
2015-11-30 10:00:00,0,18,73,False
2015-11-30 11:00:00,0,20,74,False
2015-11-30 12:00:00,0,20,73,False
2015-11-30 13:00:00,0,20,68,False
2015-11-30 14:00:00,0,22,74,False
2015-11-30 15:00:00,0,24,73,False
2015-11-30 16:00:00,0,25,87,False
2015-11-30 17:00:00,0,23,79,False
2015-11-30 18:00:00,0,25,78,False
2015-11-30 19:00:00,0,24,80,False
2015-11-30 20:00:00,0,26,84,False
2015-11-30 21:00:00,0,25,85,False
2015-11-30 22:00:00,0,26,100,False
2015-11-30 23:00:00,0,29,95,False
2015-12-01 00:00:00,0,26,92,False
2015-12-01 01:00:00,0,40,82,False
2015-12-01 02:00:00,0,34,85,False
2015-12-01 03:00:00,0,31,87,False
2015-12-01 04:00:00,0,31,86,False
2015-12-01 05:00:00,0,25,89,False
2015-12-01 06:00:00,0,23,90,False
2015-12-01 07:00:00,0,22,81,False
2015-12-01 08:00:00,0,18,82,False
2015-12-01 09:00:00,0,19,76,False
2015-12-01 10:00:00,0,18,73,False
2015-12-01 11:00:00,0,18,71,False
2015-12-01 12:00:00,0,21,73,False
2015-12-01 13:00:00,0,21,80,False
2015-12-01 14:00:00,0,21,68,False
2015-12-01 15:00:00,0,22,67,False
2015-12-01 16:00:00,0,22,71,False
2015-12-01 17:00:00,0,23,74,False
2015-12-01 18:00:00,0,25,75,False
2015-12-01 19:00:00,0,26,78,False
2015-12-01 20:00:00,0,26,80,False
2015-12-01 21:00:00,0,28,86,False
2015-12-01 22:00:00,0,30,94,False
2015-12-01 23:00:00,0,36,84,False
2015-12-02 00:00:00,0,36,90,False
2015-12-02 01:00:00,0,33,90,False
2015-12-02 02:00:00,0,28,85,False
2015-12-02 03:00:00,0,30,78,False
2015-12-02 04:00:00,0,26,83,False
2015-12-02 05:00:00,0,25,79,False
2015-12-02 06:00:00,0,25,71,False
2015-12-02 07:00:00,0,23,72,False
2015-12-02 08:00:00,0,20,67,False
2015-12-02 09:00:00,0,20,62,False
2015-12-02 10:00:00,0,18,65,False
2015-12-02 11:00:00,0,19,60,False
2015-12-02 12:00:00,0,20,74,False
2015-12-02 13:00:00,0,23,63,False
2015-12-02 14:00:00,0,23,64,False
2015-12-02 15:00:00,0,25,65,False
2015-12-02 16:00:00,0,24,71,False
2015-12-02 17:00:00,0,27,70,False
2015-12-02 18:00:00,0,25,74,False
2015-12-02 19:00:00,0,27,72,False
2015-12-02 20:00:00,0,28,72,False
2015-12-02 21:00:00,0,29,74,False
2015-12-02 22:00:00,0,31,82,False
2015-12-02 23:00:00,0,30,86,False
2015-12-03 00:00:00,0,41,86,False
2015-12-03 00:00:00,0,47,100,False
2015-12-03 01:00:00,0,72,88,False
2015-12-03 02:00:00,0,64,86,False
2015-12-03 03:00:00,0,58,91,False
2015-12-03 04:00:00,0,57,90,False
2015-12-03 05:00:00,0,51,87,False
2015-12-03 06:00:00,0,40,82,False
2015-12-03 07:00:00,0,36,74,False
2015-12-03 08:00:00,0,34,73,False
2015-12-03 09:00:00,0,32,70,False
2015-12-03 10:00:00,0,27,70,False
2015-12-03 11:00:00,0,31,72,False
2015-12-03 12:00:00,0,33,81,False
2015-12-03 13:00:00,0,34,75,False
2015-12-03 14:00:00,0,34,74,False
2015-12-03 15:00:00,0,34,79,False
2015-12-03 16:00:00,0,33,76,False
2015-12-03 17:00:00,0,35,81,False
2015-12-03 18:00:00,0,35,82,False
2015-12-03 19:00:00,0,35,82,False
2015-12-03 20:00:00,0,40,86,False
2015-12-03 21:00:00,0,36,89,False
2015-12-03 22:00:00,0,37,94,False
2015-12-03 23:00:00,0,42,93,False
2015-12-04 00:00:00,0,39,93,False
2015-12-04 01:00:00,0,38,84,False
2015-12-04 02:00:00,0,39,88,False
2015-12-04 03:00:00,0,39,86,False
2015-12-04 04:00:00,0,40,80,False
2015-12-04 05:00:00,0,30,82,False
2015-12-04 06:00:00,0,30,80,False
2015-12-04 07:00:00,0,29,70,False
2015-12-04 08:00:00,0,26,71,False
2015-12-04 09:00:00,0,25,67,False
2015-12-04 10:00:00,0,26,64,False
2015-12-04 11:00:00,0,27,67,False
2015-12-04 12:00:00,0,31,78,False
2015-12-04 13:00:00,0,26,65,False
2015-12-04 14:00:00,0,26,72,False
2015-12-04 15:00:00,0,31,76,False
2015-12-04 16:00:00,0,33,74,False
2015-12-04 17:00:00,0,32,73,False
2015-12-04 18:00:00,0,34,74,False
2015-12-04 19:00:00,0,33,74,False
2015-12-04 20:00:00,0,33,82,False
2015-12-04 21:00:00,0,35,77,False
2015-12-04 22:00:00,0,35,89,False
2015-12-04 23:00:00,0,37,88,False
2015-12-05 00:00:00,0,34,100,False
2015-12-05 01:00:00,0,38,92,False
2015-12-05 02:00:00,0,34,86,False
2015-12-05 03:00:00,0,38,89,False
2015-12-05 04:00:00,0,32,90,False
2015-12-05 05:00:00,0,35,81,False
2015-12-05 06:00:00,0,30,90,False
2015-12-05 07:00:00,0,29,76,False
2015-12-05 08:00:00,0,27,70,False
2015-12-05 09:00:00,0,28,74,False
2015-12-05 10:00:00,0,26,71,False
2015-12-05 11:00:00,0,28,68,False
2015-12-05 12:00:00,0,29,65,False
2015-12-05 13:00:00,0,29,71,False
2015-12-05 14:00:00,0,28,69,False
2015-12-05 15:00:00,0,28,71,False
2015-12-05 16:00:00,0,31,71,False
2015-12-05 17:00:00,0,32,74,False
2015-12-05 18:00:00,0,32,74,False
2015-12-05 19:00:00,0,29,75,False
2015-12-05 20:00:00,0,33,76,False
2015-12-05 21:00:00,0,31,82,False
