date,FCT,NXT,BTN,isPartial
2015-08-24 21:00:00,1,9,3,False
2015-08-24 22:00:00,1,9,4,False
2015-08-24 23:00:00,1,9,6,False
2015-08-25 00:00:00,1,10,8,False
2015-08-25 01:00:00,1,25,7,False
2015-08-25 02:00:00,1,12,9,False
2015-08-25 03:00:00,0,11,9,False
2015-08-25 04:00:00,0,10,11,False
2015-08-25 05:00:00,1,8,7,False
2015-08-25 06:00:00,1,6,8,False
2015-08-25 07:00:00,1,6,7,False
2015-08-25 08:00:00,1,5,6,False
2015-08-25 09:00:00,1,5,5,False
2015-08-25 10:00:00,1,5,5,False
2015-08-25 11:00:00,1,5,5,False
2015-08-25 12:00:00,1,5,4,False
2015-08-25 13:00:00,1,6,4,False
2015-08-25 14:00:00,1,6,3,False
2015-08-25 15:00:00,1,6,3,False
2015-08-25 16:00:00,1,7,3,False
2015-08-25 17:00:00,1,7,6,False
2015-08-25 18:00:00,1,7,5,False
2015-08-25 19:00:00,1,7,3,False
2015-08-25 20:00:00,1,7,3,False
2015-08-25 21:00:00,1,7,3,False
2015-08-25 22:00:00,1,8,4,False
2015-08-25 23:00:00,1,9,8,False
2015-08-26 00:00:00,1,8,8,False
2015-08-26 00:00:00,4,58,55,False
2015-08-26 01:00:00,6,61,47,False
2015-08-26 02:00:00,3,59,65,False
2015-08-26 03:00:00,3,56,65,False
2015-08-26 04:00:00,4,52,79,False
2015-08-26 05:00:00,3,47,56,False
2015-08-26 06:00:00,6,45,49,False
2015-08-26 07:00:00,7,45,51,False
2015-08-26 08:00:00,7,52,42,False
2015-08-26 09:00:00,9,44,40,False
2015-08-26 10:00:00,10,39,35,False
2015-08-26 11:00:00,9,42,38,False
2015-08-26 12:00:00,8,44,29,False
2015-08-26 13:00:00,7,39,25,False
2015-08-26 14:00:00,8,37,23,False
2015-08-26 15:00:00,8,42,21,False
2015-08-26 16:00:00,6,47,22,False
2015-08-26 17:00:00,7,50,86,False
2015-08-26 18:00:00,6,47,35,False
2015-08-26 19:00:00,6,44,28,False
2015-08-26 20:00:00,8,50,26,False
2015-08-26 21:00:00,7,50,25,False
2015-08-26 22:00:00,6,56,30,False
2015-08-26 23:00:00,5,63,54,False
2015-08-27 00:00:00,4,98,58,False
2015-08-27 01:00:00,5,99,53,False
2015-08-27 02:00:00,2,100,71,False
2015-08-27 03:00:00,5,89,67,False
2015-08-27 04:00:00,5,74,81,False
2015-08-27 05:00:00,4,65,55,False
2015-08-27 06:00:00,6,53,57,False
2015-08-27 07:00:00,7,54,52,False
2015-08-27 08:00:00,9,63,47,False
2015-08-27 09:00:00,9,53,44,False
2015-08-27 10:00:00,9,50,37,False
2015-08-27 11:00:00,8,55,48,False
2015-08-27 12:00:00,8,48,30,False
2015-08-27 13:00:00,8,45,28,False
2015-08-27 14:00:00,8,45,24,False
2015-08-27 15:00:00,8,47,23,False
2015-08-27 16:00:00,8,52,24,False
2015-08-27 17:00:00,6,61,40,False
2015-08-27 18:00:00,6,53,24,False
2015-08-27 19:00:00,6,56,23,False
2015-08-27 20:00:00,7,60,22,False
2015-08-27 21:00:00,7,58,21,False
2015-08-27 22:00:00,7,67,29,False
2015-08-27 23:00:00,6,63,49,False
2015-08-28 00:00:00,4,67,54,False
2015-08-28 01:00:00,4,69,52,False
2015-08-28 02:00:00,4,61,73,False
2015-08-28 03:00:00,3,53,64,False
2015-08-28 04:00:00,4,51,68,False
2015-08-28 05:00:00,3,47,47,False
2015-08-28 06:00:00,4,45,46,False
2015-08-28 07:00:00,7,58,37,False
2015-08-28 08:00:00,6,80,35,False
2015-08-28 09:00:00,7,53,35,False
2015-08-28 10:00:00,7,48,33,False
2015-08-28 11:00:00,7,53,32,False
2015-08-28 12:00:00,6,49,24,False
2015-08-28 13:00:00,7,41,25,False
2015-08-28 14:00:00,8,43,21,False
2015-08-28 15:00:00,6,44,22,False
2015-08-28 16:00:00,7,46,19,False
2015-08-28 17:00:00,6,50,30,False
2015-08-28 18:00:00,8,46,25,False
2015-08-28 19:00:00,5,49,22,False
